id,pid,ms_subclass,ms_zoning,lot_area,lot_shape,lot_config,neighborhood,house_style,overall_qual,overall_cond,year_built,year_remod/add,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,foundation,bsmtfin_sf_1,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating_qc,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,fireplaces,garage_cars,garage_area,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,misc_val,mo_sold,yr_sold,saleprice
109,533352170,60,RL,13517,3,CulDSac,Sawyer,2Story,6,8,1976,2005,HdBoard,Plywood,BrkFace,289.0,4,CBlock,533.0,0.0,192.0,725.0,5,725,754,0,1479,0.0,0.0,2,1,3,1,5,6,0,2.0,475.0,0,44,0,0,0,0,0,3,2010,130500
544,531379050,60,RL,11492,3,CulDSac,SawyerW,2Story,7,5,1996,1997,VinylSd,VinylSd,BrkFace,132.0,4,PConc,637.0,0.0,276.0,913.0,5,913,1209,0,2122,1.0,0.0,2,1,4,1,5,8,1,2.0,559.0,0,74,0,0,0,0,0,4,2009,220000
153,535304180,20,RL,7922,4,Inside,NAmes,1Story,5,7,1953,2007,VinylSd,VinylSd,None,0.0,3,CBlock,731.0,0.0,326.0,1057.0,3,1057,0,0,1057,1.0,0.0,1,0,3,1,5,5,0,1.0,246.0,0,52,0,0,0,0,0,1,2010,109000
318,916386060,60,RL,9802,4,Inside,Timber,2Story,5,5,2006,2007,VinylSd,VinylSd,None,0.0,3,PConc,0.0,0.0,384.0,384.0,4,744,700,0,1444,0.0,0.0,2,1,3,1,4,7,0,2.0,400.0,100,0,0,0,0,0,0,4,2010,174000
255,906425045,50,RL,14235,3,Inside,SawyerW,1.5Fin,6,8,1900,1993,Wd Sdng,Plywood,None,0.0,3,PConc,0.0,0.0,676.0,676.0,3,831,614,0,1445,0.0,0.0,2,0,3,1,4,6,0,2.0,484.0,0,59,0,0,0,0,0,3,2010,138500
138,535126040,20,RL,16492,3,Corner,NAmes,1Story,6,6,1966,2002,BrkFace,Plywood,None,0.0,4,CBlock,247.0,713.0,557.0,1517.0,5,1888,0,0,1888,0.0,0.0,2,1,2,1,5,6,1,2.0,578.0,0,0,0,0,0,0,0,6,2010,190000
2827,908186070,180,RM,3675,4,Inside,Edwards,SFoyer,6,5,2005,2006,VinylSd,VinylSd,BrkFace,82.0,3,PConc,547.0,0.0,0.0,547.0,4,1072,0,0,1072,1.0,0.0,2,0,2,1,4,5,0,2.0,525.0,0,44,0,0,0,0,0,6,2006,140000
145,535154050,20,RL,12160,3,Inside,NAmes,1Story,5,5,1959,1959,Plywood,Plywood,BrkFace,180.0,3,CBlock,1000.0,0.0,188.0,1188.0,2,1188,0,0,1188,1.0,0.0,1,0,3,1,4,6,0,2.0,531.0,0,0,0,0,0,0,0,5,2010,142000
1942,535353130,20,RL,15783,4,Inside,OldTown,1Story,5,5,1952,1952,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,292.0,0.0,632.0,924.0,3,924,0,0,924,0.0,0.0,1,0,2,1,4,6,0,1.0,420.0,0,324,0,0,0,0,400,6,2007,112500
1956,535426130,60,RL,11606,3,Inside,NAmes,2Story,5,5,1969,1969,Plywood,Plywood,BrkFace,192.0,3,PConc,650.0,0.0,390.0,1040.0,3,1040,1040,0,2080,0.0,1.0,1,2,5,1,3,9,2,2.0,504.0,335,0,0,0,0,0,0,9,2007,135000
1044,527451290,160,RM,1680,4,Inside,BrDale,2Story,6,5,1971,1971,HdBoard,HdBoard,BrkFace,232.0,3,CBlock,387.0,0.0,96.0,483.0,3,483,504,0,987,0.0,0.0,1,1,2,1,4,4,0,1.0,264.0,0,0,0,0,0,0,0,7,2008,85400
2752,906380150,20,RL,7488,3,Inside,CollgCr,1Story,7,5,2005,2005,VinylSd,VinylSd,None,0.0,4,PConc,393.0,0.0,815.0,1208.0,5,1208,0,0,1208,0.0,0.0,2,0,2,1,5,6,0,2.0,632.0,105,58,0,0,0,0,0,2,2006,183600
807,906226060,70,RL,26400,4,FR2,SawyerW,2Story,5,7,1880,2007,HdBoard,HdBoard,None,0.0,4,PConc,0.0,0.0,0.0,0.0,5,1288,728,0,2016,0.0,0.0,1,0,4,1,4,7,1,2.0,576.0,0,0,0,0,0,0,0,6,2009,131000
1177,533236070,160,FV,2645,4,Inside,Somerst,2Story,8,5,1999,2000,MetalSd,MetalSd,BrkFace,456.0,4,PConc,813.0,0.0,147.0,960.0,5,962,645,0,1607,1.0,0.0,2,1,3,1,5,7,0,2.0,480.0,169,0,0,0,0,0,0,12,2008,200000
1480,907418040,20,RL,9627,4,Inside,CollgCr,1Story,7,5,2007,2007,VinylSd,VinylSd,None,0.0,4,PConc,24.0,0.0,1327.0,1351.0,5,1361,0,0,1361,0.0,0.0,2,0,3,1,5,6,0,2.0,610.0,0,50,0,0,0,0,0,6,2008,193000
324,923202105,20,RL,10114,4,Inside,Mitchel,1Story,5,5,2004,2005,VinylSd,VinylSd,None,0.0,3,PConc,0.0,0.0,1430.0,1430.0,5,1430,0,0,1430,0.0,0.0,2,0,3,1,5,7,0,2.0,624.0,0,0,0,0,0,0,0,3,2010,173500
1311,902301140,70,RM,4571,4,Inside,OldTown,2Story,5,5,1916,1950,AsbShng,AsbShng,None,0.0,3,BrkTil,0.0,0.0,624.0,624.0,2,624,720,0,1344,0.0,0.0,1,0,4,1,4,7,0,3.0,513.0,0,0,96,0,0,0,0,5,2008,98000
770,905101490,20,RL,8816,4,Corner,Sawyer,1Story,5,6,1963,1963,VinylSd,VinylSd,None,0.0,3,PConc,651.0,0.0,470.0,1121.0,3,1121,0,0,1121,1.0,0.0,1,0,3,1,4,5,0,2.0,480.0,0,80,0,0,0,0,0,6,2009,139000
2063,905107140,20,RL,8197,4,Inside,Sawyer,1Story,6,5,1977,1977,Plywood,Plywood,BrkFace,148.0,3,CBlock,0.0,0.0,660.0,660.0,5,1285,0,0,1285,0.0,0.0,1,1,3,1,4,7,1,2.0,528.0,138,0,0,0,0,0,0,4,2007,143500
69,528458070,60,FV,8640,4,Inside,Somerst,2Story,7,5,2009,2009,VinylSd,VinylSd,None,0.0,3,PConc,24.0,0.0,732.0,756.0,5,764,783,0,1547,0.0,0.0,2,1,3,1,5,7,0,2.0,614.0,169,45,0,0,0,0,0,6,2010,215200
2062,905106150,20,RL,8724,4,Inside,Sawyer,1Story,5,5,1968,1968,VinylSd,VinylSd,None,0.0,3,CBlock,492.0,0.0,402.0,894.0,4,894,0,0,894,0.0,0.0,1,0,3,1,4,5,1,2.0,450.0,0,0,0,0,0,0,0,5,2007,129000
351,527131030,120,RL,5664,3,Inside,StoneBr,1Story,8,5,2000,2000,CemntBd,CmentBd,None,0.0,4,PConc,1158.0,0.0,343.0,1501.0,5,1659,0,0,1659,1.0,0.0,2,0,2,1,6,5,1,2.0,499.0,212,59,0,0,0,0,0,10,2009,278000
12,527165230,20,RL,7980,3,Inside,Gilbert,1Story,6,7,1992,2007,HdBoard,HdBoard,None,0.0,3,PConc,935.0,0.0,233.0,1168.0,5,1187,0,0,1187,1.0,0.0,2,0,3,1,4,6,0,2.0,420.0,483,21,0,0,0,0,500,3,2010,185000
2339,527250040,190,RL,34650,4,Inside,Gilbert,1Story,5,5,1955,1955,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,1056.0,0.0,0.0,1056.0,3,1056,0,0,1056,1.0,0.0,1,0,3,1,4,5,0,2.0,572.0,264,0,0,0,0,0,0,1,2006,145000
624,535104120,20,RL,10573,3,Corner,NAmes,1Story,6,6,1961,1961,MetalSd,MetalSd,BrkFace,3.0,3,CBlock,1312.0,0.0,141.0,1453.0,5,1453,0,0,1453,1.0,0.0,2,0,3,1,4,6,1,2.0,530.0,0,49,0,0,288,0,0,4,2009,187500
86,532376160,20,RL,8450,4,Inside,Sawyer,1Story,5,8,1965,2009,MetalSd,MetalSd,None,0.0,3,CBlock,553.0,117.0,224.0,894.0,5,894,0,0,894,1.0,0.0,1,0,3,1,4,5,1,1.0,336.0,416,144,0,0,0,0,0,4,2010,138500
1534,909277040,50,RL,11700,3,Inside,Crawfor,1.5Fin,5,6,1937,1995,WdShing,Wd Shng,None,0.0,3,CBlock,606.0,0.0,336.0,942.0,5,1265,673,0,1938,0.0,0.0,2,0,4,1,5,7,1,1.0,240.0,0,40,0,0,0,0,0,7,2008,198000
2243,911103060,190,C (all),8250,4,Inside,IDOTRR,2Story,5,6,1895,2006,VinylSd,VinylSd,None,0.0,3,CBlock,0.0,0.0,957.0,957.0,2,1034,957,0,1991,0.0,0.0,2,0,4,2,4,9,0,0.0,0.0,0,0,133,0,0,0,0,6,2007,119600
1957,535450190,50,RL,8064,4,Corner,NAmes,1.5Fin,5,7,1949,2006,MetalSd,MetalSd,None,0.0,3,CBlock,0.0,0.0,672.0,672.0,5,672,252,0,924,0.0,0.0,1,0,3,1,4,6,1,2.0,576.0,0,0,0,0,0,0,2000,7,2007,122900
380,527355150,20,RL,9600,4,Inside,NWAmes,1Story,8,5,1981,1981,BrkFace,BrkFace,None,0.0,4,PConc,1104.0,0.0,1420.0,2524.0,3,2524,0,0,2524,1.0,0.0,2,1,4,1,5,9,1,2.0,542.0,474,120,0,0,0,0,0,7,2009,278000
2860,909276010,70,RL,11435,3,Corner,Crawfor,2Story,8,7,1929,1950,BrkFace,Stucco,None,0.0,3,PConc,0.0,0.0,792.0,792.0,2,792,725,0,1517,0.0,0.0,1,0,3,1,5,7,2,2.0,400.0,0,0,0,0,0,0,0,6,2006,230000
2517,533250130,120,RL,9549,3,CulDSac,Veenker,1Story,8,5,1995,1996,BrkFace,BrkFace,None,0.0,4,PConc,437.0,1057.0,0.0,1494.0,5,1494,0,0,1494,1.0,0.0,1,1,2,1,6,6,1,2.0,481.0,0,30,0,0,216,0,0,4,2006,270000
1933,535302070,20,RL,10950,4,Inside,NAmes,1Story,6,6,1952,1952,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,441.0,0.0,507.0,948.0,3,948,0,0,948,0.0,0.0,1,0,2,1,4,5,0,2.0,410.0,0,48,0,0,0,0,0,4,2007,125000
820,906340110,20,RL,10637,4,Inside,CollgCr,1Story,8,5,2007,2008,VinylSd,VinylSd,Stone,336.0,4,PConc,1288.0,0.0,417.0,1705.0,5,1718,0,0,1718,1.0,0.0,2,0,3,1,5,7,1,3.0,826.0,208,44,0,0,0,0,0,9,2009,297000
675,535426150,20,RL,9000,3,Inside,NAmes,1Story,6,6,1958,1958,Wd Sdng,Wd Sdng,BrkFace,82.0,3,CBlock,0.0,0.0,160.0,160.0,2,1142,0,0,1142,0.0,0.0,1,0,2,1,4,5,1,1.0,384.0,0,28,64,0,0,0,0,4,2009,113500
2910,923225240,160,RM,2665,4,Inside,MeadowV,2Story,5,6,1977,1977,CemntBd,CmentBd,None,0.0,3,PConc,548.0,173.0,36.0,757.0,5,925,550,0,1475,0.0,0.0,2,0,4,1,4,6,1,1.0,336.0,104,26,0,0,0,0,0,7,2006,127000
21,527358140,20,RL,11751,3,Inside,NWAmes,1Story,6,6,1977,1977,Plywood,Plywood,BrkFace,480.0,3,CBlock,705.0,0.0,1139.0,1844.0,5,1844,0,0,1844,0.0,0.0,2,0,3,1,4,7,1,2.0,546.0,0,122,0,0,0,0,0,1,2010,190000
1873,534177210,20,RL,9600,4,Inside,NWAmes,1Story,7,6,1973,1973,HdBoard,HdBoard,BrkFace,320.0,3,CBlock,916.0,0.0,326.0,1242.0,2,1242,0,0,1242,0.0,0.0,1,1,3,1,4,6,1,2.0,528.0,0,0,0,0,0,0,0,9,2007,175500
2125,907135050,20,RL,8428,2,Inside,CollgCr,1Story,5,7,1994,1994,VinylSd,VinylSd,None,0.0,3,PConc,420.0,0.0,570.0,990.0,5,990,0,0,990,1.0,0.0,1,0,3,1,4,5,0,1.0,384.0,256,0,0,0,0,0,0,7,2007,146000
1489,908102260,20,RL,9937,4,Inside,Edwards,1Story,5,6,1965,1965,HdBoard,HdBoard,None,0.0,4,CBlock,830.0,290.0,136.0,1256.0,4,1256,0,0,1256,1.0,0.0,1,1,3,1,4,6,0,1.0,276.0,736,68,0,0,0,0,0,6,2008,147500
