id,pid,ms_subclass,ms_zoning,lot_area,lot_shape,lot_config,neighborhood,house_style,overall_qual,overall_cond,year_built,year_remod/add,exterior_1st,mas_vnr_type,mas_vnr_area,foundation,bsmtfin_sf_1,bsmt_unf_sf,total_bsmt_sf,heating_qc,2nd_flr_sf,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,totrms_abvgrd,fireplaces,garage_cars,wood_deck_sf,open_porch_sf,mo_sold,yr_sold,saleprice
109,533352170,60,RL,9.511703431483827,3,CulDSac,Sawyer,2Story,6,8,1976,2005,HdBoard,BrkFace,289.0,CBlock,533.0,192.0,725.0,5,754,0.0,0.0,2,1,3,1,6,0,2.0,0,44,3,2010,11.779128505744886
544,531379050,60,RL,9.34940642009918,3,CulDSac,SawyerW,2Story,7,5,1996,1997,VinylSd,BrkFace,132.0,PConc,637.0,276.0,913.0,5,1209,1.0,0.0,2,1,4,1,8,1,2.0,0,74,4,2009,12.301382825334498
153,535304180,20,RL,8.977398978181862,4,Inside,NAmes,1Story,5,7,1953,2007,VinylSd,None,0.0,CBlock,731.0,326.0,1057.0,3,0,1.0,0.0,1,0,3,1,5,0,1.0,0,52,1,2010,11.59910316121128
318,916386060,60,RL,9.190341725469493,4,Inside,Timber,2Story,5,5,2006,2007,VinylSd,None,0.0,PConc,0.0,384.0,384.0,4,700,0.0,0.0,2,1,3,1,7,0,2.0,100,0,4,2010,12.066810578196666
255,906425045,50,RL,9.563458999712138,3,Inside,SawyerW,1.5Fin,6,8,1900,1993,Wd Sdng,None,0.0,PConc,0.0,676.0,676.0,3,614,0.0,0.0,2,0,3,1,6,0,2.0,0,59,3,2010,11.83862560460953
138,535126040,20,RL,9.71063069382679,3,Corner,NAmes,1Story,6,6,1966,2002,BrkFace,None,0.0,CBlock,247.0,557.0,1517.0,5,0,0.0,0.0,2,1,2,1,6,1,2.0,0,0,6,2010,12.154779351142624
2827,908186070,180,RM,8.209308411646937,4,Inside,Edwards,SFoyer,6,5,2005,2006,VinylSd,BrkFace,82.0,PConc,547.0,0.0,547.0,4,0,1.0,0.0,2,0,2,1,5,0,2.0,0,44,6,2006,11.84939770159144
145,535154050,20,RL,9.405907155520158,3,Inside,NAmes,1Story,5,5,1959,1959,Plywood,BrkFace,180.0,CBlock,1000.0,188.0,1188.0,2,0,1.0,0.0,1,0,3,1,6,0,2.0,0,0,5,2010,11.863582336583399
1942,535353130,20,RL,9.666688690398917,4,Inside,OldTown,1Story,5,5,1952,1952,Wd Sdng,None,0.0,CBlock,292.0,632.0,924.0,3,0,0.0,0.0,1,0,2,1,6,0,1.0,0,324,6,2007,11.630708500626612
1956,535426130,60,RL,9.359277484750553,3,Inside,NAmes,2Story,5,5,1969,1969,Plywood,BrkFace,192.0,PConc,650.0,390.0,1040.0,3,1040,0.0,1.0,1,2,5,1,9,2,2.0,335,0,9,2007,11.813030057420567
1044,527451290,160,RM,7.426549072397305,4,Inside,BrDale,2Story,6,5,1971,1971,HdBoard,BrkFace,232.0,CBlock,387.0,96.0,483.0,3,504,0.0,0.0,1,1,2,1,4,0,1.0,0,0,7,2008,11.355101379776661
2752,906380150,20,RL,8.921057018157429,3,Inside,CollgCr,1Story,7,5,2005,2005,VinylSd,None,0.0,PConc,393.0,815.0,1208.0,5,0,0.0,0.0,2,0,2,1,6,0,2.0,105,58,2,2006,12.120514757168527
